hour,PL,DE,LT,SE
2012-07-14 20:00:00,0.178,0.142,0.183,0.293
2012-07-14 21:00:00,0.197,0.148,0.216,0.295
2012-07-14 22:00:00,0.261,0.136,0.2,0.35
2012-07-14 23:00:00,0.424,0.2,0.179,0.567
2012-07-15 00:00:00,0.385,0.192,0.184,0.56
2012-07-15 01:00:00,0.43,0.202,0.16,0.536
2012-07-15 02:00:00,0.479,0.23,0.161,0.51
2012-07-15 03:00:00,0.537,0.261,0.259,0.489
2012-07-15 04:00:00,0.564,0.262,0.343,0.469
2012-07-15 05:00:00,0.582,0.21,0.352,0.472
2012-07-15 06:00:00,0.583,0.188,0.507,0.494
2012-07-15 07:00:00,0.519,0.226,0.632,0.481
2012-07-15 08:00:00,0.443,0.277,0.726,0.435
2012-07-15 09:00:00,0.411,0.323,0.605,0.405
2012-07-15 10:00:00,0.344,0.349,0.495,0.37
2012-07-15 11:00:00,0.146,0.327,0.277,0.23
2012-07-15 12:00:00,0.116,0.347,0.341,0.22
2012-07-15 13:00:00,0.115,0.342,0.365,0.236
2012-07-15 14:00:00,0.202,0.298,0.347,0.27
2012-07-15 15:00:00,0.311,0.274,0.373,0.351
2012-07-15 16:00:00,0.358,0.291,0.487,0.428
2012-07-15 17:00:00,0.387,0.294,0.662,0.428
2012-07-15 18:00:00,0.626,0.272,0.908,0.394
2012-07-15 19:00:00,0.822,0.234,0.949,0.445
2012-07-15 20:00:00,0.91,0.211,0.95,0.593
2012-07-15 21:00:00,0.944,0.206,0.95,0.659
2012-07-15 22:00:00,0.949,0.218,0.95,0.699
2012-07-15 23:00:00,0.95,0.209,0.946,0.715
2012-07-16 00:00:00,0.95,0.219,0.949,0.7
2012-07-16 01:00:00,0.949,0.235,0.95,0.704
2012-07-16 02:00:00,0.933,0.269,0.95,0.653
2012-07-16 03:00:00,0.892,0.302,0.949,0.591
2012-07-16 04:00:00,0.889,0.315,0.948,0.567
2012-07-16 05:00:00,0.929,0.341,0.95,0.596
2012-07-16 06:00:00,0.947,0.343,0.95,0.648
2012-07-16 07:00:00,0.949,0.316,0.95,0.682
2012-07-16 08:00:00,0.95,0.281,0.95,0.678
2012-07-16 09:00:00,0.949,0.266,0.949,0.662
2012-07-16 10:00:00,0.941,0.257,0.946,0.646
2012-07-16 11:00:00,0.912,0.203,0.924,0.57
2012-07-16 12:00:00,0.92,0.213,0.947,0.586
2012-07-16 13:00:00,0.92,0.227,0.95,0.581
2012-07-16 14:00:00,0.922,0.228,0.95,0.585
2012-07-16 15:00:00,0.927,0.234,0.95,0.59
2012-07-16 16:00:00,0.912,0.248,0.95,0.592
2012-07-16 17:00:00,0.881,0.294,0.949,0.588
2012-07-16 18:00:00,0.867,0.358,0.947,0.587
2012-07-16 19:00:00,0.855,0.43,0.941,0.577
2012-07-16 20:00:00,0.814,0.484,0.937,0.567
2012-07-16 21:00:00,0.802,0.529,0.933,0.564
2012-07-16 22:00:00,0.802,0.594,0.931,0.555
2012-07-16 23:00:00,0.852,0.583,0.942,0.574
2012-07-17 00:00:00,0.817,0.728,0.933,0.571
2012-07-17 01:00:00,0.833,0.806,0.907,0.578
2012-07-17 02:00:00,0.826,0.837,0.898,0.59
2012-07-17 03:00:00,0.796,0.84,0.843,0.598
2012-07-17 04:00:00,0.829,0.8,0.858,0.604
2012-07-17 05:00:00,0.835,0.782,0.921,0.592
2012-07-17 06:00:00,0.821,0.797,0.919,0.593
2012-07-17 07:00:00,0.859,0.806,0.912,0.643
2012-07-17 08:00:00,0.902,0.815,0.928,0.669
2012-07-17 09:00:00,0.921,0.813,0.938,0.706
2012-07-17 10:00:00,0.931,0.804,0.942,0.724
2012-07-17 11:00:00,0.831,0.712,0.885,0.678
2012-07-17 12:00:00,0.876,0.743,0.863,0.71
2012-07-17 13:00:00,0.923,0.687,0.876,0.715
2012-07-17 14:00:00,0.948,0.664,0.906,0.705
2012-07-17 15:00:00,0.95,0.673,0.945,0.69
2012-07-17 16:00:00,0.95,0.646,0.949,0.685
2012-07-17 17:00:00,0.949,0.567,0.946,0.666
2012-07-17 18:00:00,0.95,0.466,0.945,0.665
2012-07-17 19:00:00,0.947,0.384,0.947,0.635
2012-07-17 20:00:00,0.944,0.327,0.94,0.623
2012-07-17 21:00:00,0.936,0.251,0.917,0.622
2012-07-17 22:00:00,0.925,0.201,0.91,0.603
2012-07-17 23:00:00,0.867,0.12,0.928,0.544
2012-07-18 00:00:00,0.788,0.107,0.927,0.497
2012-07-18 01:00:00,0.696,0.09,0.861,0.429
2012-07-18 02:00:00,0.635,0.112,0.696,0.42
2012-07-18 03:00:00,0.583,0.167,0.568,0.414
2012-07-18 04:00:00,0.52,0.215,0.524,0.401
2012-07-18 05:00:00,0.537,0.247,0.549,0.373
2012-07-18 06:00:00,0.523,0.272,0.493,0.322
2012-07-18 07:00:00,0.405,0.294,0.507,0.245
2012-07-18 08:00:00,0.276,0.297,0.55,0.184
2012-07-18 09:00:00,0.163,0.305,0.511,0.139
2012-07-18 10:00:00,0.11,0.317,0.3,0.152
2012-07-18 11:00:00,0.064,0.329,0.15,0.154
